user_id,event_date,event_type
1,2024-04-29,login
1,2024-05-11,login
1,2024-05-15,login
1,2024-06-12,board_view
1,2024-05-03,login
1,2024-05-17,login
1,2024-04-30,create_ticket
1,2024-06-29,comment
1,2024-04-20,create_ticket
1,2024-05-31,login
1,2024-05-01,comment
1,2024-06-25,login
1,2024-06-08,login
1,2024-05-25,login
1,2024-05-23,login
1,2024-04-18,login
1,2024-05-12,comment
1,2024-06-07,create_ticket
1,2024-05-12,login
1,2024-06-03,comment
1,2024-06-09,login
1,2024-04-13,create_ticket
1,2024-04-28,create_ticket
1,2024-04-27,login
1,2024-05-12,comment
2,2024-06-29,create_ticket
2,2024-06-28,board_view
2,2024-06-28,comment
2,2024-06-29,comment
2,2024-06-29,board_view
2,2024-06-30,login
2,2024-06-29,comment
2,2024-06-30,login
2,2024-06-29,board_view
3,2024-04-09,login
3,2024-04-07,login
3,2024-04-07,login
3,2024-04-09,login
3,2024-04-05,board_view
3,2024-04-02,create_ticket
3,2024-04-02,comment
3,2024-04-08,login
3,2024-04-09,login
3,2024-04-02,comment
3,2024-04-04,login
3,2024-04-09,login
3,2024-04-03,create_ticket
3,2024-04-05,login
3,2024-04-05,login
3,2024-04-03,login
3,2024-04-03,comment
3,2024-04-08,create_ticket
3,2024-04-02,comment
3,2024-04-05,login
3,2024-04-04,create_ticket
3,2024-04-02,board_view
3,2024-04-06,comment
3,2024-04-06,create_ticket
3,2024-04-06,login
3,2024-04-06,login
3,2024-04-07,comment
3,2024-04-09,login
3,2024-04-09,board_view
3,2024-04-07,login
3,2024-04-05,board_view
3,2024-04-07,create_ticket
3,2024-04-09,board_view
3,2024-04-09,comment
3,2024-04-02,comment
3,2024-04-05,board_view
3,2024-04-04,login
3,2024-04-06,login
3,2024-04-04,board_view
3,2024-04-06,create_ticket
3,2024-04-07,login
3,2024-04-07,comment
3,2024-04-09,board_view
3,2024-04-08,create_ticket
3,2024-04-08,login
3,2024-04-08,login
3,2024-04-02,create_ticket
3,2024-04-05,create_ticket
3,2024-04-06,board_view
3,2024-04-08,comment
3,2024-04-04,login
3,2024-04-04,login
3,2024-04-08,login
3,2024-04-05,login
3,2024-04-07,login
3,2024-04-09,board_view
3,2024-04-04,comment
3,2024-04-06,create_ticket
4,2024-04-18,login
4,2024-03-23,login
4,2024-04-12,login
4,2024-05-22,login
4,2024-04-10,login
4,2024-03-08,login
4,2024-03-08,board_view
4,2024-04-22,board_view
4,2024-05-20,login
4,2024-05-04,login
4,2024-04-07,comment
4,2024-02-12,comment
4,2024-05-01,comment
4,2024-05-02,login
4,2024-01-18,login
4,2024-02-02,comment
4,2024-04-09,login
4,2024-05-04,create_ticket
4,2024-04-09,login
4,2024-02-25,create_ticket
4,2024-05-08,create_ticket
4,2024-02-26,login
4,2024-02-03,comment
4,2024-02-22,board_view
4,2024-01-25,create_ticket
4,2024-01-25,login
4,2024-02-02,comment
4,2024-05-09,login
4,2024-03-19,board_view
4,2024-03-26,create_ticket
4,2024-05-11,board_view
4,2024-01-21,create_ticket
4,2024-03-15,board_view
4,2024-04-25,create_ticket
5,2024-05-22,login
5,2024-05-09,board_view
5,2024-04-28,comment
5,2024-04-19,login
5,2024-06-03,comment
5,2024-04-26,login
5,2024-05-26,login
5,2024-05-08,login
5,2024-05-28,board_view
5,2024-05-11,comment
5,2024-05-14,login
5,2024-05-21,login
5,2024-05-20,comment
5,2024-05-02,login
5,2024-05-31,login
5,2024-05-14,board_view
5,2024-05-31,board_view
5,2024-05-23,login
5,2024-06-01,create_ticket
5,2024-05-23,create_ticket
5,2024-05-10,board_view
5,2024-05-07,login
5,2024-06-03,login
5,2024-04-25,login
5,2024-06-02,create_ticket
5,2024-05-23,board_view
5,2024-05-18,login
5,2024-05-19,login
5,2024-04-19,login
5,2024-05-11,login
5,2024-04-22,create_ticket
5,2024-04-24,login
5,2024-04-23,login
5,2024-05-04,login
5,2024-05-28,create_ticket
5,2024-04-29,login
5,2024-05-13,login
5,2024-05-01,create_ticket
5,2024-05-16,create_ticket
5,2024-05-02,create_ticket
5,2024-05-31,comment
5,2024-05-24,create_ticket
5,2024-05-15,login
5,2024-04-26,comment
5,2024-04-27,comment
5,2024-05-03,login
5,2024-04-22,comment
5,2024-05-11,board_view
5,2024-05-30,login
5,2024-05-29,login
5,2024-05-07,create_ticket
5,2024-05-03,create_ticket
5,2024-05-22,login
5,2024-05-27,create_ticket
5,2024-05-22,comment
5,2024-05-15,login
5,2024-04-24,board_view
5,2024-04-27,comment
5,2024-05-18,create_ticket
5,2024-04-30,create_ticket
6,2024-03-29,create_ticket
6,2024-04-23,create_ticket
6,2024-04-18,login
6,2024-04-13,comment
6,2024-06-14,comment
6,2024-05-18,login
6,2024-05-18,login
6,2024-06-12,login
6,2024-05-16,comment
6,2024-03-17,create_ticket
6,2024-05-07,login
6,2024-03-27,board_view
6,2024-04-19,create_ticket
6,2024-06-11,login
6,2024-04-29,create_ticket
6,2024-04-25,comment
6,2024-05-19,create_ticket
6,2024-04-22,login
6,2024-05-09,login
6,2024-04-19,login
6,2024-05-21,login
6,2024-03-14,login
6,2024-06-11,login
6,2024-04-15,login
6,2024-04-18,create_ticket
6,2024-03-30,board_view
6,2024-03-19,comment
6,2024-06-03,create_ticket
6,2024-05-01,login
6,2024-04-25,create_ticket
6,2024-03-27,create_ticket
6,2024-03-20,create_ticket
6,2024-05-27,login
6,2024-05-21,login
6,2024-06-21,comment
6,2024-04-02,create_ticket
6,2024-06-20,create_ticket
6,2024-03-21,board_view
6,2024-05-22,login
6,2024-06-08,board_view
6,2024-06-08,login
6,2024-04-06,comment
6,2024-05-28,login
6,2024-04-03,board_view
6,2024-05-19,board_view
6,2024-03-29,board_view
6,2024-04-23,create_ticket
6,2024-03-29,comment
6,2024-05-13,comment
6,2024-05-01,login
6,2024-04-12,create_ticket
6,2024-06-15,login
6,2024-06-16,login
6,2024-06-17,login
6,2024-04-06,create_ticket
6,2024-05-30,board_view
6,2024-06-22,login
6,2024-03-24,login
6,2024-03-31,login
6,2024-06-01,comment
6,2024-04-25,create_ticket
6,2024-05-13,comment
6,2024-05-27,login
7,2024-02-24,login
7,2024-02-15,board_view
7,2024-03-05,login
7,2024-05-04,create_ticket
7,2024-03-03,board_view
7,2024-02-12,login
7,2024-02-08,login
7,2024-03-15,login
7,2024-03-20,create_ticket
7,2024-02-08,create_ticket
7,2024-03-12,board_view
7,2024-03-09,board_view
7,2024-04-28,login
7,2024-04-28,create_ticket
7,2024-02-27,login
7,2024-04-16,create_ticket
7,2024-02-11,login
7,2024-05-11,comment
7,2024-03-05,login
7,2024-05-07,comment
7,2024-04-15,board_view
7,2024-05-03,login
7,2024-05-04,login
7,2024-02-12,login
7,2024-04-16,create_ticket
7,2024-02-12,create_ticket
7,2024-04-06,create_ticket
7,2024-04-16,login
